prev_filename,filename,uniform_type,xmin,xmax,ymin,ymax
OMG-Oh-My-God-court-room-drama-e1474114545186.jpg,0.jpg,lawyer,26,221,108,387
OMG-Oh-My-God-court-room-drama-e1474114545186.jpg,0.jpg,lawyer,456,700,107,319
Telangana-Traffic-police.jpg,1.jpg,Traffic police,422,654,177,800
Telangana-Traffic-police.jpg,1.jpg,Traffic police,754,956,147,461
ap1.jpg,2.jpg,military force,199,325,112,394
ap10.jpg,3.jpg,military force,15,272,211,336
ap10.jpg,3.jpg,military force,397,612,215,332
ap100.jpg,4.jpg,military force,81,173,179,408
ap100.jpg,4.jpg,military force,395,476,220,350
ap101.jpg,5.jpg,military force,12,92,80,303
ap101.jpg,5.jpg,military force,113,316,13,408
ap101.jpg,5.jpg,military force,363,489,104,345
ap101.jpg,5.jpg,military force,282,350,90,298
ap102.jpg,6.jpg,military force,60,239,173,386
ap103.jpg,7.jpg,military force,214,449,121,378
ap104.jpg,8.jpg,military force,139,481,178,350
ap106.jpg,9.jpg,military force,39,313,66,612
ap107.jpg,10.jpg,military force,275,417,99,397
ap108.jpg,11.jpg,military force,101,213,159,408
ap108.jpg,11.jpg,military force,231,361,129,412
ap108.jpg,11.jpg,military force,380,524,102,412
ap109.jpg,12.jpg,military force,52,157,50,362
ap109.jpg,12.jpg,military force,161,216,298,394
ap11.jpg,13.jpg,military force,1,122,168,421
ap11.jpg,13.jpg,military force,188,404,247,421
ap11.jpg,13.jpg,military force,407,612,170,419
ap110.jpg,14.jpg,military force,124,550,69,424
ap111.jpg,15.jpg,military force,162,358,143,404
ap112.jpg,16.jpg,military force,181,472,127,375
ap114.jpg,17.jpg,military force,144,264,124,333
ap115.jpg,18.jpg,military force,280,409,152,407
ap116.jpg,19.jpg,military force,36,210,106,396
ap116.jpg,19.jpg,military force,295,419,174,319
ap116.jpg,19.jpg,military force,487,600,215,258
ap117.jpg,20.jpg,military force,54,308,140,405
ap117.jpg,20.jpg,military force,360,547,125,389
ap118.jpg,21.jpg,military force,403,590,107,394
ap119.jpg,22.jpg,military force,194,451,106,408
ap12.jpg,23.jpg,military force,148,226,129,372
ap12.jpg,23.jpg,military force,311,410,134,391
ap12.jpg,23.jpg,military force,502,606,111,407
ap12.jpg,23.jpg,military force,412,504,132,402
ap120.jpg,24.jpg,military force,25,187,5,408
ap120.jpg,24.jpg,military force,426,554,41,397
ap121.jpg,25.jpg,military force,312,490,27,342
ap122.jpg,26.jpg,military force,91,250,25,408
ap122.jpg,26.jpg,military force,450,590,59,408
ap123.jpg,27.jpg,military force,228,612,2,403
ap124.jpg,28.jpg,ncc force,243,393,190,386
